prompt,grade_level,response,expected_quality
"Explain photosynthesis to a 5th grader","5th","Plants like make food or something idk how exactly","Poor"
"Explain the water cycle","6th","Water goes up and comes down as rain lol","Poor"
"Explain gravity simply","5th","Things fall down because gravity","Poor"
"Explain fractions using pizza","4th","Fractions are parts of stuff","Poor"
"What causes seasons?","5th","It's hot in summer and cold in winter ngl","Poor"
"Explain the moon phases","5th","The moon changes shape sometimes","Poor"
"Define metamorphosis","6th","Animals change idk","Poor"
"Explain the human digestive system","7th","Food goes in your stomach and stuff happens","Poor"
"Explain the rock cycle","6th","Rocks change into other rocks","Poor"
"What are renewable energy sources?","8th","Like solar panels and wind stuff","Poor"
"Explain ecosystems simply","5th","Animals and plants live together","Poor"
"What is natural selection?","7th","Animals that are better survive","Poor"
"Define symbiosis","7th","Animals help each other sometimes","Poor"
"Explain decomposition","6th","Things rot and break down","Poor"
"What is predator and prey?","5th","Some animals eat other animals","Poor"
